[2020-04-24 08:51:31,784] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /CQM/CQM_upload/ HTTP/1.1" 200 9732
[2020-04-24 08:53:22,822] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /CQM/CQM_upload/ HTTP/1.1" 200 9732
[2020-04-24 08:53:47,840] [log.py:228] [log:log_response] [WARNING]- Not Found: /static/css/bootstrap.min.css.map
[2020-04-24 08:53:47,841] [log.py:228] [log:log_response] [WARNING]- Not Found: /static/js/lib/bootstrap.min.js.map
[2020-04-24 08:53:47,841] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 77
[2020-04-24 08:53:47,842] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 77
[2020-04-24 08:54:02,830] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /CQM/CQM_upload/ HTTP/1.1" 200 9732
[2020-04-24 08:56:47,687] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /CQM/CQM_upload/ HTTP/1.1" 200 34580
[2020-04-24 08:56:47,785] [log.py:228] [log:log_response] [WARNING]- Not Found: /static/jquery-3.2.1.js
[2020-04-24 08:56:47,786] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/jquery-3.2.1.js HTTP/1.1" 404 77
[2020-04-24 08:56:47,790] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/bootstrap.min.css HTTP/1.1" 200 144877
[2020-04-24 08:56:50,823] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
[2020-04-24 08:56:50,833] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/menubar/sidebar.js HTTP/1.1" 200 7278
[2020-04-24 08:56:50,834] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/scripts.js HTTP/1.1" 200 1906
[2020-04-24 08:56:50,854] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/preloader/pace.min.js HTTP/1.1" 200 26566
[2020-04-24 08:56:50,856] [log.py:228] [log:log_response] [WARNING]- Not Found: /static/css/bootstrap.min.css.map
[2020-04-24 08:56:50,857] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 77
[2020-04-24 08:56:50,891] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/jquery.nanoscroller.min.js HTTP/1.1" 200 12394
[2020-04-24 08:56:50,894] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/bootstrap.min.js HTTP/1.1" 200 69782
[2020-04-24 08:56:50,922] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/calendar-2/pignose.init.js HTTP/1.1" 200 258
[2020-04-24 08:56:50,947] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/calendar-2/pignose.calendar.min.js HTTP/1.1" 200 24265
[2020-04-24 08:56:50,954] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/jquery.min.js HTTP/1.1" 200 97362
[2020-04-24 08:56:50,968] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/circle-progress/circle-progress-init.js HTTP/1.1" 200 1252
[2020-04-24 08:56:50,973] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/calendar-2/moment.latest.min.js HTTP/1.1" 200 61317
[2020-04-24 08:56:50,987] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/circle-progress/circle-progress.min.js HTTP/1.1" 200 4453
[2020-04-24 08:56:51,012] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/sparklinechart/sparkline.init.js HTTP/1.1" 200 9974
[2020-04-24 08:56:51,025] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/date.js HTTP/1.1" 200 764
[2020-04-24 08:56:51,034] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/owl-carousel/owl.carousel-init.js HTTP/1.1" 200 1044
[2020-04-24 08:56:51,037] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/sparklinechart/jquery.sparkline.min.js HTTP/1.1" 200 43247
[2020-04-24 08:56:51,068] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/lib/owl-carousel/owl.carousel.min.js HTTP/1.1" 200 42854
[2020-04-24 08:56:51,098] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/mail.png HTTP/1.1" 200 3002
[2020-04-24 08:56:51,113] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/datapicker.js HTTP/1.1" 200 11813
[2020-04-24 08:56:51,132] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/001.png HTTP/1.1" 200 2015
[2020-04-24 08:56:51,139] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/call.png HTTP/1.1" 200 1850
[2020-04-24 08:56:51,140] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/vendor/datatables/jquery.dataTables.js HTTP/1.1" 200 447606
[2020-04-24 08:56:51,158] [log.py:228] [log:log_response] [WARNING]- Not Found: /static/js/lib/bootstrap.min.js.map
[2020-04-24 08:56:51,159] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 77
[2020-04-24 08:56:51,398] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/js/xlsx/xlsx.core.min.js HTTP/1.1" 200 480558
[2020-04-24 08:56:51,623] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 15877
[2020-04-24 08:57:12,673] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /CQM/CQM_upload/ HTTP/1.1" 200 34580
[2020-04-24 08:57:12,744] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/owl.carousel.min.css HTTP/1.1" 200 3011
[2020-04-24 08:57:12,747] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/font-awesome.min.css HTTP/1.1" 200 38722
[2020-04-24 08:57:12,755] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/chartist/chartist.min.css HTTP/1.1" 200 11508
[2020-04-24 08:57:12,761] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/themify-icons.css HTTP/1.1" 200 17551
[2020-04-24 08:57:12,761] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/download_UPK/element-ui@2.12.0/lib/theme-chalk/index.css HTTP/1.1" 200 232694
[2020-04-24 08:57:12,766] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/calendar2/pignose.calendar.min.css HTTP/1.1" 200 14709
[2020-04-24 08:57:12,781] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/owl.theme.default.min.css HTTP/1.1" 200 1003
[2020-04-24 08:57:12,793] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/weather-icons.css HTTP/1.1" 200 30752
[2020-04-24 08:57:12,811] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/lib/helper.css HTTP/1.1" 200 55773
[2020-04-24 08:57:12,818] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/uploadbutton.css HTTP/1.1" 200 175
[2020-04-24 08:57:12,820] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/b_upload.css HTTP/1.1" 200 3339
