[2020-03-06 08:44:38,572] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/ocean.jpg HTTP/1.1" 500 59
[2020-03-06 10:24:57,331] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/ocean.jpg HTTP/1.1" 500 59
[2020-03-06 10:25:22,024] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/07_bm2r0Aw.gif HTTP/1.1" 500 59
[2020-03-06 10:25:22,040] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/1_IaHyDLG.png HTTP/1.1" 500 59
[2020-03-06 10:25:22,075] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/city_fcXsZTj.jpg HTTP/1.1" 500 59
[2020-03-06 10:25:22,110] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/1.png HTTP/1.1" 500 59
[2020-03-06 10:25:22,116] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/2_saKpYAa.png HTTP/1.1" 500 59
[2020-03-06 10:25:22,174] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/1_pKk5Mt6.png HTTP/1.1" 500 59
[2020-03-06 10:25:22,179] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/1_VyKGf86.png HTTP/1.1" 500 59
[2020-03-06 10:25:22,196] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/2_wOaAOBh.png HTTP/1.1" 500 59
[2020-03-06 10:25:22,270] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/bgimg.jpg HTTP/1.1" 500 59
[2020-03-06 10:25:22,296] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/02.gif HTTP/1.1" 500 59
[2020-03-06 10:25:22,459] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /media/img/test/2_6kpWz46.png HTTP/1.1" 500 59
[2020-03-06 10:25:22,762] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/blue.jpg HTTP/1.1" 500 59
[2020-03-06 10:31:06,129] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/ocean.jpg HTTP/1.1" 500 59
[2020-03-06 10:33:15,409] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/blue.jpg HTTP/1.1" 500 59
[2020-03-06 10:35:17,016] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/blue.jpg HTTP/1.1" 500 59
[2020-03-06 10:37:57,999] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/blue.jpg HTTP/1.1" 500 59
[2020-03-07 08:57:52,986] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/ocean.jpg HTTP/1.1" 500 59
[2020-03-07 09:22:38,843] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/blue.jpg HTTP/1.1" 500 59
[2020-03-09 11:32:38,594] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/ocean.jpg HTTP/1.1" 500 59
[2020-03-09 11:54:34,901] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/blue.jpg HTTP/1.1" 500 59
