[2023-08-02 11:11:51,992] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /INVGantt/INVGantt-searchByProject/ HTTP/1.1" 200 59523
[2023-08-02 11:11:52,482] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-08-02 11:11:52 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /INVGantt/INVGantt-searchByProject/ POST
[2023-08-02 11:11:52,506] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /INVGantt/INVGantt-searchByProject/ HTTP/1.1" 200 25812
[2023-08-02 11:11:52,514] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 23410
[2023-08-02 11:12:03,874] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /LessonProjectME/Lesson_SearchByProject/ HTTP/1.1" 200 45254
[2023-08-02 11:12:03,900] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/css/bouncing.css HTTP/1.1" 304 0
[2023-08-02 11:12:04,151] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /LessonProjectME/Lesson_SearchByProject/?action=get&csrfmiddlewaretoken=77pdpWfIdl1wMIcipnelg1lXvE7EhYIE63AjPIaYdUE1YHBQyXn98mSlSBo267To HTTP/1.1" 200 2260
[2023-08-02 11:12:04,158] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /favicon.ico HTTP/1.1" 200 23410
[2023-08-02 11:12:07,761] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/lib/bootstrap.min.js.map HTTP/1.1" 404 1806
[2023-08-02 11:12:07,770] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/axios.min.map HTTP/1.1" 404 1773
[2023-08-02 11:12:07,774] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/js/xlsx/FileSaver.min.js.map HTTP/1.1" 404 1809
[2023-08-02 11:12:07,800] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1800
[2023-08-02 11:12:15,234] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /LessonProjectME/Lesson_SearchByProject/?action=search&customer=C38(NB)&csrfmiddlewaretoken=77pdpWfIdl1wMIcipnelg1lXvE7EhYIE63AjPIaYdUE1YHBQyXn98mSlSBo267To HTTP/1.1" 200 26535
[2023-08-02 11:12:19,724] [UserIP.py:90] [UserIP:process_response] [INFO]- 2023-08-02 11:12:19 C1010S3>Edwin None>LAPTOP-EJP4HNEV>543 127.0.0.1 127.0.0.1 /LessonProjectME/Lesson_SearchByProject/ POST
[2023-08-02 11:12:19,735] [basehttp.py:154] [basehttp:log_message] [INFO]- "POST /LessonProjectME/Lesson_SearchByProject/ HTTP/1.1" 200 32182
[2023-08-02 11:12:19,843] [basehttp.py:154] [basehttp:log_message] [INFO]- "GET /static/src/back/document_save_2_24px_539656_easyicon.net.png HTTP/1.1" 304 0
[2023-08-02 11:12:19,871] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/348621_LL.png
[2023-08-02 11:12:19,872] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/348621_LL.png HTTP/1.1" 404 1791
[2023-08-02 11:12:19,875] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/Error.png
[2023-08-02 11:12:19,876] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/Error.png HTTP/1.1" 404 1779
[2023-08-02 11:12:19,881] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/fail.png
[2023-08-02 11:12:19,882] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/fail.png HTTP/1.1" 404 1776
[2023-08-02 11:12:24,007] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/Error.png
[2023-08-02 11:12:24,020] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/348621_LL.png
[2023-08-02 11:12:24,020] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/Error.png HTTP/1.1" 404 1779
[2023-08-02 11:12:24,022] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/348621_LL.png HTTP/1.1" 404 1791
[2023-08-02 11:12:24,025] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/fail.png
[2023-08-02 11:12:24,026] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/fail.png HTTP/1.1" 404 1776
[2023-08-02 11:12:31,054] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/Error.png
[2023-08-02 11:12:31,057] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/Error.png HTTP/1.1" 404 1779
[2023-08-02 11:12:31,079] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/348621_LL.png
[2023-08-02 11:12:31,081] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/348621_LL.png HTTP/1.1" 404 1791
[2023-08-02 11:12:31,086] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/fail.png
[2023-08-02 11:12:31,088] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/fail.png HTTP/1.1" 404 1776
[2023-08-02 11:12:35,124] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/fail.png
[2023-08-02 11:12:35,134] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/fail.png HTTP/1.1" 404 1776
[2023-08-02 11:12:35,145] [log.py:228] [log:log_response] [WARNING]- Not Found: /media/img/test/Error.png
[2023-08-02 11:12:35,148] [basehttp.py:154] [basehttp:log_message] [WARNING]- "GET /media/img/test/Error.png HTTP/1.1" 404 1779
