[2020-04-02 09:09:52,123] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/ocean.jpg HTTP/1.1" 500 59
[2020-04-02 09:14:43,840] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /index/ HTTP/1.1" 500 59
[2020-04-02 09:14:43,848] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /index/ HTTP/1.1" 500 59
[2020-04-02 09:14:43,912] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /index/ HTTP/1.1" 500 59
[2020-04-02 09:14:44,050] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /index/ HTTP/1.1" 500 59
[2020-04-02 09:22:00,428] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/fonts/themify.woff?-fvbane HTTP/1.1" 500 59
[2020-04-02 09:22:00,431] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 500 59
[2020-04-02 09:22:00,462] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/1.jpg HTTP/1.1" 500 59
[2020-04-02 09:22:00,462] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/timg4.jfif HTTP/1.1" 500 59
[2020-04-02 09:22:00,481] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/7.jpg HTTP/1.1" 500 59
[2020-04-02 09:22:00,497] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/8.jpg HTTP/1.1" 500 59
[2020-04-02 09:22:00,515] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/9.jfif HTTP/1.1" 500 59
[2020-04-02 09:52:36,896] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/timg4.jfif HTTP/1.1" 500 59
[2020-04-02 09:52:36,906] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/1.jpg HTTP/1.1" 500 59
[2020-04-02 09:52:36,932] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/7.jpg HTTP/1.1" 500 59
[2020-04-02 09:52:36,933] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/6.jpg HTTP/1.1" 500 59
[2020-04-02 09:52:36,942] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/9.jfif HTTP/1.1" 500 59
[2020-04-02 09:53:32,734] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/1.jpg HTTP/1.1" 500 59
[2020-04-02 09:53:32,742] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/6.jpg HTTP/1.1" 500 59
[2020-04-02 09:53:32,768] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/8.jpg HTTP/1.1" 500 59
[2020-04-02 09:53:32,777] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/9.jfif HTTP/1.1" 500 59
[2020-04-02 09:53:32,800] [basehttp.py:154] [basehttp:log_message] [ERROR]- "GET /static/src/7.jpg HTTP/1.1" 500 59
